slug,和名,検索学名,実際の学名,観察ID,撮影者,ライセンス,画像URL
alabama-map-turtle,アラバマチズガメ,Graptemys pulchra,Graptemys pulchra,137488405,deanstavrides,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/234829117/large.jpg
black-knobbed-map-turtle,クロコブチズガメ,Graptemys nigrinoda,Graptemys nigrinoda,70357178,evangrimes,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/114360623/large.jpg
false-map-turtle,ニセチズガメ,Graptemys pseudogeographica,Graptemys pseudogeographica kohnii,35213614,sambiology,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/55502520/large.jpeg
mississippi-map-turtle,ミシシッピチズガメ,Graptemys kohnii,Graptemys pseudogeographica kohnii,69080855,lauramorganclark,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/112013237/large.jpg
northern-map-turtle,ヒラチズガメ,Graptemys geographica,Graptemys geographica,236382885,donalddavesne,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/420526526/large.jpg
ouachita-map-turtle-sp,フトマユチズガメ,Graptemys ouachitensis,Graptemys ouachitensis,175862002,eric-schmitty,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/305670300/large.jpeg
ringed-map-turtle,ワモンチズガメ,Graptemys oculifera,Graptemys oculifera,58654309,evangrimes,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/93657067/large.jpg
musk-turtle,ミシシッピニオイガメ,Sternotherus odoratus,Sternotherus odoratus,33457436,cmeyersia,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/52549959/large.jpg
razorback-musk-turtle,カブトニオイガメ,Sternotherus carinatus,Sternotherus carinatus,87663730,rjbaltierra,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/144556545/large.jpeg
loggerhead-musk-turtle,ヒメニオイガメ,Sternotherus minor,Sternotherus minor,110524180,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455291/large.jpeg
stripe-necked-musk-turtle,スジクビヒメニオイガメ,Sternotherus peltifer,Sternotherus peltifer,3663150,friel,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/4241656/large.JPG
hime-nioi-turtle,ヒメニオイガメ？,Sternotherus minor,Sternotherus minor,110524182,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455362/large.jpeg
scorpion-mud-turtle,サソリドロガメ,Kinosternon scorpioides,Kinosternon scorpioides,136905517,carlosceballos2416,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/233727661/large.jpeg
