slug,idx,観察ID,撮影者,ライセンス,画像URL
red-eared-slider,1,4571829,lauramorganclark,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/5518581/large.jpg
red-eared-slider,2,105925502,bradenjudson,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/177836196/large.jpeg
red-eared-slider,3,73968070,glennberry,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/120834277/large.jpg
red-eared-slider,4,13785123,sadawolk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/20328829/large.jpg
red-eared-slider,5,289500069,robertodesu,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/520708759/large.jpg
ringed-map-turtle,1,58654309,evangrimes,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/93657067/large.jpg
ringed-map-turtle,2,56583068,mcferny,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/90179851/large.jpeg
ringed-map-turtle,3,58654306,evangrimes,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/93657051/large.jpg
ringed-map-turtle,4,56583067,mcferny,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/90179830/large.jpeg
ringed-map-turtle,5,56583066,mcferny,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/90179839/large.jpeg
scorpion-mud-turtle,1,136905517,carlosceballos2416,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/233727661/large.jpeg
scorpion-mud-turtle,2,121542134,carlosceballos2416,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/205683508/large.jpeg
scorpion-mud-turtle,3,97788310,roysh,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/162689298/large.jpeg
scorpion-mud-turtle,4,63998380,hhulsberg,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/102809502/large.jpg
scorpion-mud-turtle,5,346855810,omatheuscomh,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/632329554/large.jpg
russian-tortoise,1,75437401,amirekul,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/123407903/large.jpeg
russian-tortoise,2,223896469,alexander_fomichev,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/396757937/large.jpeg
russian-tortoise,3,105487832,ivanprst,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/177003250/large.jpg
russian-tortoise,4,24260812,amirekul,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/37515483/large.jpeg
russian-tortoise,5,282588378,amirekul,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/507715614/large.jpg
pig-nosed-turtle,1,260796410,zr217,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/468412164/large.jpg
mexican-mud-turtle,1,41102692,alexmor,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/65174691/large.jpg
mexican-mud-turtle,2,2370893,juancruzado,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/2640252/large.JPG
mexican-mud-turtle,3,16637098,francisco3_,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/25078001/large.jpeg
mexican-mud-turtle,4,327282513,alfredoavila,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/592901144/large.jpg
mexican-mud-turtle,5,3901779,alexmor,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/4585272/large.jpeg
herrera-mud-turtle,1,329002965,ivancumpian,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/596293707/large.jpg
herrera-mud-turtle,2,84597445,tototzin,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/139056665/large.jpeg
herrera-mud-turtle,3,34523904,tereso_hernandez,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/54345159/large.jpeg
herrera-mud-turtle,4,293213592,amantedesaurios,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/527729558/large.jpg
herrera-mud-turtle,5,3635291,juancruzado,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/4200729/large.JPG
home-hinge-back-tortoise,1,9624630,deboas,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/13136933/large.jpg
home-hinge-back-tortoise,2,85910599,sos_biodiversity,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/141432046/large.jpg
hilaire-side-necked-turtle,1,338493819,adriana_machado,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/615588922/large.jpg
hilaire-side-necked-turtle,2,97613075,carancho,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/162366723/large.jpeg
hilaire-side-necked-turtle,3,92422236,mariazeta,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/153028812/large.jpeg
hilaire-side-necked-turtle,4,244049257,nicoolejnik,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/435270075/large.jpeg
hilaire-side-necked-turtle,5,253996427,tomascarper,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/454867215/large.jpg
ornate-box-turtle,1,135081285,rjbaltierra,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/230350827/large.jpeg
ornate-box-turtle,2,127321168,jacobfriend,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/216132680/large.jpeg
ornate-box-turtle,3,168697659,alissa_iverson,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/292393136/large.jpeg
ornate-box-turtle,4,87560968,andrew_dudley,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/144376196/large.jpeg
ornate-box-turtle,5,287931004,marinbeenerd,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/517746868/large.jpg
ornate-diamondback-terrapin,1,107198259,milkweed_mapper,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/180247900/large.jpeg
