ファイル,ASIN,商品名,検証状態,代替,確認用URL,掲載箇所数,種別,Amazon上の実際の商品名,在庫,検証メモ,検証日,検証方法
uvb-light-best10.html,B0002AQDJK,ズーメッド パワーサン UV 100W（水銀灯一体型）,CAUTION,,https://www.amazon.co.jp/dp/B0002AQDJK/,1,data-asin（JSで/dp/へ展開）,ZOOMED パワーサンUV 100W（水銀灯一体型）,在庫切れ,2026-09-08 是正済み。誤って併用していたアーケディア枠は B084ZLQG81 へ差し替え、本ASINは「ズーメッド パワーサン UV 100W」枠のみで正しく使用。ただし現在は在庫切れ表示,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B000BQ599A,オートワンタッチフィルター AT-20（外掛け式・小型）,OK,,https://www.amazon.co.jp/dp/B000BQ599A/,1,data-asin（JSで/dp/へ展開）,テトラ オートワンタッチフィルター AT-20,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B000N5O6WA,Zoo Med レプティセーフ 水質調整剤（電解質配合）,OK,,https://www.amazon.co.jp/dp/B000N5O6WA/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,Zoo Med レプティセーフ 水質調整剤 4.25oz,,2026-09-08 修正済み。「エレクトロライト（電解質補給）」→「Zoo Med レプティセーフ 水質調整剤（電解質配合）」。直接投与と読める説明も水に加える使い方へ是正,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js,B000NGQZU0,テトラ レプトフィルター 10i,CAUTION,,https://www.amazon.co.jp/dp/B000NGQZU0/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,テトラ レプトフィルター インタンクフィルター 10i,在庫切れ,商品名は一致。現在購入不可,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B000V2AE58,テトラ レプトミン スーパー（高タンパク強化版）,OK,,https://www.amazon.co.jp/dp/B000V2AE58/,1,data-asin（JSで/dp/へ展開）,テトラ レプトミン スーパー 170g,,一致（サイト表記に内容量なし）,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js | guide-beginner.html | shindan/equipment.js | species/pink-bellied-template.html | water-filter-best10.html,B0012UO6Q6,テトラ オートワンタッチフィルター AT-50,OK,,https://www.amazon.co.jp/dp/B0012UO6Q6/,5,HTML内の直リンク / data-asin（JSで/dp/へ展開） / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,テトラ オートワンタッチフィルター AT-50,,products.js の表記と一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B0012USSE2,オートワンタッチフィルター AT-30（外掛け式）,OK,,https://www.amazon.co.jp/dp/B0012USSE2/,1,data-asin（JSで/dp/へ展開）,テトラ オートワンタッチフィルター AT-30,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B001BDE6HS,トロ舟 #40（コスパ屋外飼育容器）,CAUTION,,https://www.amazon.co.jp/dp/B001BDE6HS/,1,data-asin（JSで/dp/へ展開）,リス プラ舟 40（R40）,在庫切れ,「トロ舟 #40」と実質同一。現在購入不可,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B001OVBEEK,Zoo Med レプティヒートケーブル 25W,OK,,https://www.amazon.co.jp/dp/B001OVBEEK/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ZOOMED レプティヒートケーブル 25W 4.5m,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B001WAVT4S,テトラ ブリラントフィルター（スポンジ式）,OK,,https://www.amazon.co.jp/dp/B001WAVT4S/,1,data-asin（JSで/dp/へ展開）,テトラ ブリラントフィルター,在庫切れ,2026-09-08 修正済み。ブランドを「スドー」→「テトラ」に是正（在庫切れは継続）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B0027QM5JO,水作エイト M（投げ込み式）,OK,,https://www.amazon.co.jp/dp/B0027QM5JO/,1,data-asin（JSで/dp/へ展開）,水作 エイト M,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B002JIEPMU,テトラ オートワンタッチフィルター AT-75W（外掛け・大型）,OK,,https://www.amazon.co.jp/dp/B002JIEPMU/,1,data-asin（JSで/dp/へ展開）,テトラ オートワンタッチフィルター AT-75W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B002NEZMIG,クリスタルキューブ 300（小型キューブ水槽）,OK,,https://www.amazon.co.jp/dp/B002NEZMIG/,1,data-asin（JSで/dp/へ展開）,寿工芸 コトブキ クリスタルキューブ300,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | water-filter-best10.html,B002OCNJXM,EHEIM クラシック 2215 外部フィルター,OK,,https://www.amazon.co.jp/dp/B002OCNJXM/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,エーハイム クラシックフィルター 2215 ろ材セット,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | water-filter-best10.html | water-filter-review.html,B002S152LG,EHEIM クラシック 2213 外部フィルター,OK,,https://www.amazon.co.jp/dp/B002S152LG/,3,HTML内の直リンク / data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,エーハイム クラシックフィルター 2213 ろ材付きセット,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B002S1ROSU,エーハイム クラシック 2211（外部式・小型）,OK,,https://www.amazon.co.jp/dp/B002S1ROSU/,1,data-asin（JSで/dp/へ展開）,エーハイム クラシックフィルター 2211（50/60Hz共通）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B002SGX79U,EHEIM クラシック 2217,CAUTION,,https://www.amazon.co.jp/dp/B002SGX79U/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,エーハイム クラシックフィルター 2217-NEW（50Hz 東日本仕様）,,商品名は一致。ただし50Hz東日本専用品。西日本(60Hz)の読者には不適合,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B003A2JS76,外掛け式フィルター,CAUTION,,https://www.amazon.co.jp/dp/B003A2JS76/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX 簡単ラクラクパワーフィルター M（45cm以下用）,,サイト表記「外掛け式フィルター」は汎用名で商品を特定できない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0042L2I58,赤外線バスキングランプ 75W,OK,,https://www.amazon.co.jp/dp/B0042L2I58/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA ヒートグロー赤外線照射スポットランプ 75W PT2142,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B0043AV14W,GEX コーナーパワーフィルター2（水中式）,CAUTION,,https://www.amazon.co.jp/dp/B0043AV14W/,1,data-asin（JSで/dp/へ展開）,GEX コーナーパワーフィルター2,,サイト表記「F2」は型番誤り（正しくは「2」）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | guide-beginner.html | shindan/equipment.js,B0043AYZL8,GEX EXOTERRA サングロータイトビーム バスキングスポットランプ 100W,OK,,https://www.amazon.co.jp/dp/B0043AYZL8/,3,HTML内の直リンク / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA サングロータイトビーム バスキングスポットランプ 100W,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js | shindan/equipment.js | species/hermann-dry-template.html | species/pink-bellied-template.html,B0043B0AU2,マルカン バスキングライト 50W BL-50,OK,,https://www.amazon.co.jp/dp/B0043B0AU2/,4,HTML内の直リンク / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,マルカン バスキングライト 50W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0043B0EAI,GEX エキゾテラ サングロータイトビーム バスキングスポットランプ 50W,OK,,https://www.amazon.co.jp/dp/B0043B0EAI/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA サングロータイトビーム バスキングスポットランプ 50W PT2135,,2026-09-08 修正済み。商品名を「サングロータイトビーム 50W」、価格帯を実勢へ是正（旧「ハロゲンバスキング 35W」）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shindan/equipment.js | species/three-toed-box-template.html,B0043B2AJQ,マルカン バスキングライト 30W,OK,,https://www.amazon.co.jp/dp/B0043B2AJQ/,2,HTML内の直リンク / equipment.js（診断結果の推奨機材）,マルカン ミニマルランド バスキングライト 30W,,マルカンのブランドライン名。実質一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0043B3ZJ0,GEX EXOTERRA サングロー バスキングスポットランプ 50W,OK,,https://www.amazon.co.jp/dp/B0043B3ZJ0/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA サングロー バスキングスポットランプ 50W PT2131,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js,B0043UN3X4,キョーリン ひかりクレスト タートル 250g,OK,,https://www.amazon.co.jp/dp/B0043UN3X4/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ヒカリ ひかりクレスト タートル 250g,,2026-09-08 修正済み。「ひかりウーパールーパー」→「ひかりクレスト タートル 250g」,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
guide-brackish.html,B004EI24C6,テトラ マリンソルトプロ 200L用,OK,,https://www.amazon.co.jp/dp/B004EI24C6/,1,HTML内の直リンク,テトラ マリンソルトプロ 200L用 6.8kg,,guide-brackish.html の「200L用」表記と一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
guide-brackish.html,B004EI50PY,テトラ マリンソルトプロ 100L用,OK,,https://www.amazon.co.jp/dp/B004EI50PY/,1,HTML内の直リンク,テトラ マリンソルトプロ 100L用,,「100L用」表記と一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B004EI8ZNS,テトラ バリューEX 60（外掛け式・60cm向け）,OK,,https://www.amazon.co.jp/dp/B004EI8ZNS/,1,data-asin（JSで/dp/へ展開）,テトラ バリューEXフィルター VX-60,,一致（正式型番は VX-60）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
guide-brackish.html,B004EI90O6,テトラ マリンソルトプロ 800L用（未検証）,OK,,https://www.amazon.co.jp/dp/B004EI90O6/,1,HTML内の直リンク,テトラ マリンソルトプロ 800L用（200L用×4袋）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js,B004EIAQMG,テトラ ハイドロメーター（比重計）,OK,,https://www.amazon.co.jp/dp/B004EIAQMG/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,テトラ ハイドロメーター（海水水槽用比重計）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B004EIASU6,ツインブリラントフィルター（スポンジ式）,OK,,https://www.amazon.co.jp/dp/B004EIASU6/,1,data-asin（JSで/dp/へ展開）,テトラ ツインブリラントフィルター,,一致（ブランドはテトラ）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | water-filter-best10.html,B004FZ99HG,GEX メガパワー 6090 外部フィルター,OK,,https://www.amazon.co.jp/dp/B004FZ99HG/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX メガパワー 6090（外部式・60〜160L）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B004GK68HE,GEX メガパワー 2045（外部式・中型）,OK,,https://www.amazon.co.jp/dp/B004GK68HE/,1,data-asin（JSで/dp/へ展開）,GEX メガパワー 2045（20〜45cm用）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004HH8HDY,コトブキ工芸 アクアリスト KC-1200LT 120cm ガラス水槽,OK,,https://www.amazon.co.jp/dp/B004HH8HDY/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,寿工芸 アクアリスト KC-1200LT 120×45×45cm,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
dish-best10.html,B004HT2ZTO,ウォーターディッシュ M PT2802（岩型・中）,OK,,https://www.amazon.co.jp/dp/B004HT2ZTO/,1,data-asin（JSで/dp/へ展開）,GEX エキゾテラ ウォーターディッシュ M PT2802,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-review.html,B004HXU0OM,GEX エキゾテラ グラステラリウム 3030,OK,,https://www.amazon.co.jp/dp/B004HXU0OM/,1,HTML内の直リンク,GEX エキゾテラ グラステラリウム 3030 PT2600,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B004HXXKLM,グラステラリウム 6045（前面ドア・中大型）,OK,,https://www.amazon.co.jp/dp/B004HXXKLM/,1,data-asin（JSで/dp/へ展開）,GEX エキゾテラ グラステラリウム 6045 PT2610,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004IGXYX2,みどり商会 ピタリ適温プラス 3号,OK,,https://www.amazon.co.jp/dp/B004IGXYX2/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,みどり商会 ピタリ適温プラス 3号,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004IH1VOK,みどり商会 ピタリ適温プラス 1号,OK,,https://www.amazon.co.jp/dp/B004IH1VOK/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,みどり商会 ピタリ適温プラス 1号,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004IH1VRC,みどり商会 ピタリ適温プラス 2号,OK,,https://www.amazon.co.jp/dp/B004IH1VRC/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,みどり商会 ピタリ適温プラス 2号,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html | data/products.js,B004J2G6XK,コトブキ工芸 KC-ワイド900 水槽,OK,,https://www.amazon.co.jp/dp/B004J2G6XK/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,寿工芸 KC-ワイド900 ブラック,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B004KUYSH2,GEX エキゾテラ レプタイルケイブ S（岩型・小）,OK,,https://www.amazon.co.jp/dp/B004KUYSH2/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA レプタイルケイブ S PT2851,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004LE7HWK,GEX EXOTERRA サングロー バスキングスポットランプ 75W,OK,,https://www.amazon.co.jp/dp/B004LE7HWK/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA サングロー バスキングスポットランプ 75W PT2132,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
uvb-light-best10.html,B004LODIDM,レプティサン 10.0 UVB 26W,OK,,https://www.amazon.co.jp/dp/B004LODIDM/,1,data-asin（JSで/dp/へ展開）,ズーメッド レプティサン 10.0 UVB 26W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B004MGNCSK,ロカボーイ コンパクト（投げ込み式）,OK,,https://www.amazon.co.jp/dp/B004MGNCSK/,1,data-asin（JSで/dp/へ展開）,GEX ロカボーイ コンパクト,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004OHL3QK,GEX EXOTERRA マルチビタミン 30g,OK,,https://www.amazon.co.jp/dp/B004OHL3QK/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA マルチビタミン 30g PT1860,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B004PQKHG2,マルチベースフィルター S（底面式）,OK,,https://www.amazon.co.jp/dp/B004PQKHG2/,1,data-asin（JSで/dp/へ展開）,GEX マルチベースフィルター S（底面式）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B004PQMP44,GEX AQUA FILTER e-ROKA PF701,OK,,https://www.amazon.co.jp/dp/B004PQMP44/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX AQUA FILTER e-ROKA PF701,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shindan/equipment.js,B004WH8YBO,水作 水槽の底砂 川砂 2.4kg,CAUTION,,https://www.amazon.co.jp/dp/B004WH8YBO/,1,equipment.js（診断結果の推奨機材）,水作 水槽の底砂 川砂 2.4kg,在庫切れ,商品名は一致。現在購入不可,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
